Product,Year,Fert_ktN
Ammonium nitrate (N),1961,0
Ammonium nitrate (N),1962,0
Ammonium nitrate (N),1963,0
Ammonium nitrate (N),1964,0
Ammonium nitrate (N),1965,0
Ammonium nitrate (N),1966,0
Ammonium nitrate (N),1967,0
Ammonium nitrate (N),1968,0
Ammonium nitrate (N),1969,0
Ammonium nitrate (N),1970,0
Ammonium nitrate (N),1971,0
Ammonium nitrate (N),1972,0
Ammonium nitrate (N),1973,0
Ammonium nitrate (N),1974,0
Ammonium nitrate (N),1975,0
Ammonium nitrate (N),1976,0.3
Ammonium nitrate (N),1977,1.8
Ammonium nitrate (N),1978,2
Ammonium nitrate (N),1979,2
Ammonium nitrate (N),1980,0.8
Ammonium nitrate (N),1981,1.7
Ammonium nitrate (N),1982,1
Ammonium nitrate (N),1983,0
Ammonium nitrate (N),1984,0.9
Ammonium nitrate (N),1985,0
Ammonium nitrate (N),1986,0
Ammonium nitrate (N),1987,0
Ammonium nitrate (N),1988,2.6
Ammonium nitrate (N),1989,2.1
Ammonium nitrate (N),1990,1.7
Ammonium nitrate (N),1991,1
Ammonium nitrate (N),1992,1
Ammonium nitrate (N),1993,1
Ammonium nitrate (N),1994,0
Ammonium nitrate (N),1995,0
Ammonium nitrate (N),1996,0
Ammonium nitrate (N),1997,0
Ammonium nitrate (N),1998,0
Ammonium nitrate (N),1999,0
Ammonium nitrate (N),2000,0
Ammonium nitrate (N),2001,0
Ammonium nitrate (N),2002,0
Ammonium nitrate (N),2003,0
Ammonium nitrate (N),2004,0
Ammonium nitrate (N),2005,0
Ammonium nitrate (N),2006,0
Ammonium nitrate (N),2007,0
Ammonium nitrate (N),2008,0
Ammonium nitrate (N),2009,0
Ammonium nitrate (N),2010,0
Ammonium nitrate (N),2011,0
Ammonium nitrate (N),2012,0
Ammonium nitrate (N),2013,0
Ammonium nitrate (N),2014,0
Ammonium nitrate (N),2015,0
Ammonium nitrate (N),2016,0
Ammonium nitrate (N),2017,0
Ammonium sulphate (N),1961,39.7
Ammonium sulphate (N),1962,0
Ammonium sulphate (N),1963,0
Ammonium sulphate (N),1964,0
Ammonium sulphate (N),1965,0
Ammonium sulphate (N),1966,0
Ammonium sulphate (N),1967,0
Ammonium sulphate (N),1968,0
Ammonium sulphate (N),1969,0
Ammonium sulphate (N),1970,0
Ammonium sulphate (N),1971,0
Ammonium sulphate (N),1972,0
Ammonium sulphate (N),1973,34
Ammonium sulphate (N),1974,29
Ammonium sulphate (N),1975,36.7
Ammonium sulphate (N),1976,32.7
Ammonium sulphate (N),1977,35.3
Ammonium sulphate (N),1978,30.8
Ammonium sulphate (N),1979,32.2
Ammonium sulphate (N),1980,24.5
Ammonium sulphate (N),1981,21.9
Ammonium sulphate (N),1982,20.7
Ammonium sulphate (N),1983,18.9
Ammonium sulphate (N),1984,16.9
Ammonium sulphate (N),1985,17.5
Ammonium sulphate (N),1986,16.1
Ammonium sulphate (N),1987,14.9
Ammonium sulphate (N),1988,14.6
Ammonium sulphate (N),1989,13.4
Ammonium sulphate (N),1990,13.9
Ammonium sulphate (N),1991,11
Ammonium sulphate (N),1992,9
Ammonium sulphate (N),1993,9
Ammonium sulphate (N),1994,7
Ammonium sulphate (N),1995,6
Ammonium sulphate (N),1996,5
Ammonium sulphate (N),1997,5
Ammonium sulphate (N),1998,4
Ammonium sulphate (N),1999,4
Ammonium sulphate (N),2000,4
Ammonium sulphate (N),2001,4
Ammonium sulphate (N),2002,4
Ammonium sulphate (N),2003,4
Ammonium sulphate (N),2004,4
Ammonium sulphate (N),2005,4
Ammonium sulphate (N),2006,4
Ammonium sulphate (N),2007,4
Ammonium sulphate (N),2008,5
Ammonium sulphate (N),2009,5
Ammonium sulphate (N),2010,5
Ammonium sulphate (N),2011,4
Ammonium sulphate (N),2012,4
Ammonium sulphate (N),2013,4
Ammonium sulphate (N),2014,3
Ammonium sulphate (N),2015,4
Ammonium sulphate (N),2016,3
Ammonium sulphate (N),2017,5.7
Calc. amm. nitrate (N),1961,22.6
Calc. amm. nitrate (N),1962,0
Calc. amm. nitrate (N),1963,0
Calc. amm. nitrate (N),1964,0
Calc. amm. nitrate (N),1965,0
Calc. amm. nitrate (N),1966,0
Calc. amm. nitrate (N),1967,0
Calc. amm. nitrate (N),1968,0
Calc. amm. nitrate (N),1969,0
Calc. amm. nitrate (N),1970,0
Calc. amm. nitrate (N),1971,0
Calc. amm. nitrate (N),1972,0
Calc. amm. nitrate (N),1973,55.1
Calc. amm. nitrate (N),1974,41
Calc. amm. nitrate (N),1975,55
Calc. amm. nitrate (N),1976,56.9
Calc. amm. nitrate (N),1977,65.2
Calc. amm. nitrate (N),1978,58.6
Calc. amm. nitrate (N),1979,67.5
Calc. amm. nitrate (N),1980,58.7
Calc. amm. nitrate (N),1981,67.2
Calc. amm. nitrate (N),1982,65.8
Calc. amm. nitrate (N),1983,57
Calc. amm. nitrate (N),1984,63.4
Calc. amm. nitrate (N),1985,72.7
Calc. amm. nitrate (N),1986,77.5
Calc. amm. nitrate (N),1987,74.5
Calc. amm. nitrate (N),1988,79.7
Calc. amm. nitrate (N),1989,66.7
Calc. amm. nitrate (N),1990,68.1
Calc. amm. nitrate (N),1991,60
Calc. amm. nitrate (N),1992,58
Calc. amm. nitrate (N),1993,59
Calc. amm. nitrate (N),1994,61
Calc. amm. nitrate (N),1995,61
Calc. amm. nitrate (N),1996,63
Calc. amm. nitrate (N),1997,59
Calc. amm. nitrate (N),1998,55
Calc. amm. nitrate (N),1999,51
Calc. amm. nitrate (N),2000,44
Calc. amm. nitrate (N),2001,40
Calc. amm. nitrate (N),2002,37
Calc. amm. nitrate (N),2003,37
Calc. amm. nitrate (N),2004,35
Calc. amm. nitrate (N),2005,32
Calc. amm. nitrate (N),2006,29
Calc. amm. nitrate (N),2007,29
Calc. amm. nitrate (N),2008,30
Calc. amm. nitrate (N),2009,31
Calc. amm. nitrate (N),2010,31
Calc. amm. nitrate (N),2011,28
Calc. amm. nitrate (N),2012,30
Calc. amm. nitrate (N),2013,32
Calc. amm. nitrate (N),2014,30
Calc. amm. nitrate (N),2015,31
Calc. amm. nitrate (N),2016,30
Calc. amm. nitrate (N),2017,25.4
Nitrogen solutions (N),1961,0
Nitrogen solutions (N),1962,0
Nitrogen solutions (N),1963,0
Nitrogen solutions (N),1964,0
Nitrogen solutions (N),1965,0
Nitrogen solutions (N),1966,0
Nitrogen solutions (N),1967,0
Nitrogen solutions (N),1968,0
Nitrogen solutions (N),1969,0
Nitrogen solutions (N),1970,0
Nitrogen solutions (N),1971,0
Nitrogen solutions (N),1972,0
Nitrogen solutions (N),1973,0
Nitrogen solutions (N),1974,0
Nitrogen solutions (N),1975,0
Nitrogen solutions (N),1976,0
Nitrogen solutions (N),1977,0
Nitrogen solutions (N),1978,0
Nitrogen solutions (N),1979,0
Nitrogen solutions (N),1980,0
Nitrogen solutions (N),1981,0
Nitrogen solutions (N),1982,0
Nitrogen solutions (N),1983,0
Nitrogen solutions (N),1984,0
Nitrogen solutions (N),1985,0
Nitrogen solutions (N),1986,0
Nitrogen solutions (N),1987,0.7
Nitrogen solutions (N),1988,1.7
Nitrogen solutions (N),1989,2.3
Nitrogen solutions (N),1990,2.6
Nitrogen solutions (N),1991,3
Nitrogen solutions (N),1992,3
Nitrogen solutions (N),1993,3
Nitrogen solutions (N),1994,4
Nitrogen solutions (N),1995,3
Nitrogen solutions (N),1996,7
Nitrogen solutions (N),1997,8
Nitrogen solutions (N),1998,12
Nitrogen solutions (N),1999,10
Nitrogen solutions (N),2000,11
Nitrogen solutions (N),2001,11
Nitrogen solutions (N),2002,10
Nitrogen solutions (N),2003,10
Nitrogen solutions (N),2004,10
Nitrogen solutions (N),2005,9
Nitrogen solutions (N),2006,10
Nitrogen solutions (N),2007,10
Nitrogen solutions (N),2008,8
Nitrogen solutions (N),2009,6
Nitrogen solutions (N),2010,8
Nitrogen solutions (N),2011,8
Nitrogen solutions (N),2012,9
Nitrogen solutions (N),2013,9
Nitrogen solutions (N),2014,6
Nitrogen solutions (N),2015,6
Nitrogen solutions (N),2016,6
Nitrogen solutions (N),2017,9
Other N straight (N),1961,5.1
Other N straight (N),1962,0
Other N straight (N),1963,0
Other N straight (N),1964,0
Other N straight (N),1965,0
Other N straight (N),1966,0
Other N straight (N),1967,0
Other N straight (N),1968,0
Other N straight (N),1969,0
Other N straight (N),1970,0
Other N straight (N),1971,0
Other N straight (N),1972,0
Other N straight (N),1973,3.4
Other N straight (N),1974,3.6
Other N straight (N),1975,6.7
Other N straight (N),1976,4.5
Other N straight (N),1977,6.4
Other N straight (N),1978,5
Other N straight (N),1979,6
Other N straight (N),1980,4.7
Other N straight (N),1981,3.6
Other N straight (N),1982,2.9
Other N straight (N),1983,3.5
Other N straight (N),1984,2.5
Other N straight (N),1985,2.6
Other N straight (N),1986,3.2
Other N straight (N),1987,2.7
Other N straight (N),1988,2.2
Other N straight (N),1989,2.8
Other N straight (N),1990,2.8
Other N straight (N),1991,3
Other N straight (N),1992,3
Other N straight (N),1993,3
Other N straight (N),1994,1
Other N straight (N),1995,1
Other N straight (N),1996,3
Other N straight (N),1997,2
Other N straight (N),1998,1
Other N straight (N),1999,2
Other N straight (N),2000,3
Other N straight (N),2001,2
Other N straight (N),2002,2
Other N straight (N),2003,2
Other N straight (N),2004,2
Other N straight (N),2005,2
Other N straight (N),2006,2
Other N straight (N),2007,2
Other N straight (N),2008,2
Other N straight (N),2009,2
Other N straight (N),2010,2
Other N straight (N),2011,2
Other N straight (N),2012,2
Other N straight (N),2013,2
Other N straight (N),2014,2
Other N straight (N),2015,2
Other N straight (N),2016,2
Other N straight (N),2017,2
Urea (N),1961,0.4
Urea (N),1962,0
Urea (N),1963,0
Urea (N),1964,0
Urea (N),1965,0
Urea (N),1966,0
Urea (N),1967,0
Urea (N),1968,0
Urea (N),1969,0
Urea (N),1970,0
Urea (N),1971,0
Urea (N),1972,0
Urea (N),1973,4.8
Urea (N),1974,4.2
Urea (N),1975,4.8
Urea (N),1976,4.9
Urea (N),1977,5.7
Urea (N),1978,5.9
Urea (N),1979,6
Urea (N),1980,4.4
Urea (N),1981,6.4
Urea (N),1982,6.5
Urea (N),1983,6.9
Urea (N),1984,6.8
Urea (N),1985,8.3
Urea (N),1986,12.7
Urea (N),1987,14.1
Urea (N),1988,11.5
Urea (N),1989,17
Urea (N),1990,20.6
Urea (N),1991,24
Urea (N),1992,23
Urea (N),1993,24
Urea (N),1994,24
Urea (N),1995,24
Urea (N),1996,21
Urea (N),1997,15
Urea (N),1998,17
Urea (N),1999,15
Urea (N),2000,13
Urea (N),2001,12
Urea (N),2002,12
Urea (N),2003,12
Urea (N),2004,11
Urea (N),2005,11
Urea (N),2006,10
Urea (N),2007,10
Urea (N),2008,9
Urea (N),2009,9
Urea (N),2010,10
Urea (N),2011,9
Urea (N),2012,9
Urea (N),2013,9
Urea (N),2014,8
Urea (N),2015,8
Urea (N),2016,8
Urea (N),2017,8
Ammonium phosphate (N),1961,0
Ammonium phosphate (N),1962,0
Ammonium phosphate (N),1963,0
Ammonium phosphate (N),1964,0
Ammonium phosphate (N),1965,0
Ammonium phosphate (N),1966,0
Ammonium phosphate (N),1967,0
Ammonium phosphate (N),1968,0
Ammonium phosphate (N),1969,0
Ammonium phosphate (N),1970,0
Ammonium phosphate (N),1971,0
Ammonium phosphate (N),1972,0
Ammonium phosphate (N),1973,0
Ammonium phosphate (N),1974,0
Ammonium phosphate (N),1975,0
Ammonium phosphate (N),1976,0
Ammonium phosphate (N),1977,0
Ammonium phosphate (N),1978,0
Ammonium phosphate (N),1979,0
Ammonium phosphate (N),1980,0
Ammonium phosphate (N),1981,0
Ammonium phosphate (N),1982,6
Ammonium phosphate (N),1983,2
Ammonium phosphate (N),1984,0.5
Ammonium phosphate (N),1985,2
Ammonium phosphate (N),1986,5
Ammonium phosphate (N),1987,5.6
Ammonium phosphate (N),1988,1.4
Ammonium phosphate (N),1989,1.7
Ammonium phosphate (N),1990,4.2
Ammonium phosphate (N),1991,5
Ammonium phosphate (N),1992,4
Ammonium phosphate (N),1993,4
Ammonium phosphate (N),1994,4
Ammonium phosphate (N),1995,4
Ammonium phosphate (N),1996,4
Ammonium phosphate (N),1997,4
Ammonium phosphate (N),1998,5
Ammonium phosphate (N),1999,5
Ammonium phosphate (N),2000,4
Ammonium phosphate (N),2001,4
Ammonium phosphate (N),2002,4
Ammonium phosphate (N),2003,4
Ammonium phosphate (N),2004,5
Ammonium phosphate (N),2005,4
Ammonium phosphate (N),2006,5
Ammonium phosphate (N),2007,3
Ammonium phosphate (N),2008,2.2
Ammonium phosphate (N),2009,3
Ammonium phosphate (N),2010,3.8
Ammonium phosphate (N),2011,1
Ammonium phosphate (N),2012,1
Ammonium phosphate (N),2013,1
Ammonium phosphate (N),2014,1
Ammonium phosphate (N),2015,1
Ammonium phosphate (N),2016,1
Ammonium phosphate (N),2017,4.3
N K compound (N),1961,0
N K compound (N),1962,0
N K compound (N),1963,0
N K compound (N),1964,0
N K compound (N),1965,0
N K compound (N),1966,0
N K compound (N),1967,0
N K compound (N),1968,0
N K compound (N),1969,0
N K compound (N),1970,0
N K compound (N),1971,0
N K compound (N),1972,0
N K compound (N),1973,0
N K compound (N),1974,0
N K compound (N),1975,0
N K compound (N),1976,0
N K compound (N),1977,0
N K compound (N),1978,0
N K compound (N),1979,0
N K compound (N),1980,0
N K compound (N),1981,0
N K compound (N),1982,0
N K compound (N),1983,0
N K compound (N),1984,0
N K compound (N),1985,0
N K compound (N),1986,0
N K compound (N),1987,0
N K compound (N),1988,0
N K compound (N),1989,0
N K compound (N),1990,0
N K compound (N),1991,0
N K compound (N),1992,0
N K compound (N),1993,0
N K compound (N),1994,0
N K compound (N),1995,0
N K compound (N),1996,0
N K compound (N),1997,0
N K compound (N),1998,0
N K compound (N),1999,0
N K compound (N),2000,0
N K compound (N),2001,0
N K compound (N),2002,0
N K compound (N),2003,0
N K compound (N),2004,0
N K compound (N),2005,0
N K compound (N),2006,0
N K compound (N),2007,0
N K compound (N),2008,0
N K compound (N),2009,0
N K compound (N),2010,0
N K compound (N),2011,1
N K compound (N),2012,1
N K compound (N),2013,1
N K compound (N),2014,1
N K compound (N),2015,1
N K compound (N),2016,1
N K compound (N),2017,2.8
N P K compound (N),1961,0
N P K compound (N),1962,0
N P K compound (N),1963,0
N P K compound (N),1964,0
N P K compound (N),1965,0
N P K compound (N),1966,0
N P K compound (N),1967,0
N P K compound (N),1968,0
N P K compound (N),1969,0
N P K compound (N),1970,0
N P K compound (N),1971,0
N P K compound (N),1972,0
N P K compound (N),1973,0
N P K compound (N),1974,0
N P K compound (N),1975,0
N P K compound (N),1976,0
N P K compound (N),1977,0
N P K compound (N),1978,0
N P K compound (N),1979,0
N P K compound (N),1980,0
N P K compound (N),1981,0
N P K compound (N),1982,36
N P K compound (N),1983,33.3
N P K compound (N),1984,32.2
N P K compound (N),1985,34.1
N P K compound (N),1986,35.3
N P K compound (N),1987,37
N P K compound (N),1988,42.8
N P K compound (N),1989,39.4
N P K compound (N),1990,36.3
N P K compound (N),1991,34
N P K compound (N),1992,26
N P K compound (N),1993,26
N P K compound (N),1994,20
N P K compound (N),1995,20
N P K compound (N),1996,24
N P K compound (N),1997,24
N P K compound (N),1998,31
N P K compound (N),1999,28
N P K compound (N),2000,29
N P K compound (N),2001,26
N P K compound (N),2002,23
N P K compound (N),2003,23
N P K compound (N),2004,18
N P K compound (N),2005,17
N P K compound (N),2006,16
N P K compound (N),2007,16
N P K compound (N),2008,12
N P K compound (N),2009,8
N P K compound (N),2010,10
N P K compound (N),2011,15
N P K compound (N),2012,16
N P K compound (N),2013,17
N P K compound (N),2014,17
N P K compound (N),2015,18
N P K compound (N),2016,17
N P K compound (N),2017,10
Other NP (N),1961,0
Other NP (N),1962,0
Other NP (N),1963,0
Other NP (N),1964,0
Other NP (N),1965,0
Other NP (N),1966,0
Other NP (N),1967,0
Other NP (N),1968,0
Other NP (N),1969,0
Other NP (N),1970,0
Other NP (N),1971,0
Other NP (N),1972,0
Other NP (N),1973,0
Other NP (N),1974,0
Other NP (N),1975,0
Other NP (N),1976,0
Other NP (N),1977,0
Other NP (N),1978,0
Other NP (N),1979,0
Other NP (N),1980,0
Other NP (N),1981,0
Other NP (N),1982,0
Other NP (N),1983,0
Other NP (N),1984,0
Other NP (N),1985,0
Other NP (N),1986,0
Other NP (N),1987,0
Other NP (N),1988,0
Other NP (N),1989,0
Other NP (N),1990,0
Other NP (N),1991,0
Other NP (N),1992,0
Other NP (N),1993,0
Other NP (N),1994,7
Other NP (N),1995,6
Other NP (N),1996,5
Other NP (N),1997,4
Other NP (N),1998,6
Other NP (N),1999,5
Other NP (N),2000,5
Other NP (N),2001,4
Other NP (N),2002,4
Other NP (N),2003,3
Other NP (N),2004,3
Other NP (N),2005,4
Other NP (N),2006,4
Other NP (N),2007,4
Other NP (N),2008,3
Other NP (N),2009,4
Other NP (N),2010,3
Other NP (N),2011,4
Other NP (N),2012,4
Other NP (N),2013,4
Other NP (N),2014,4
Other NP (N),2015,4
Other NP (N),2016,4
Other NP (N),2017,1.8
,,
Downloaded on 15 May 2020 23:10,,
Copyright (c) IFA 2020,,
