main_crop,crop,N_res,source
Citrus,Lemon,3.5,"Dias, 2002"
Citrus,Orange,3.5,"Dias, 2002"
Citrus,Other_citrus,3.5,"Dias, 2002"
Citrus,Tangerine,3.5,"Dias, 2002"
Dried_fruits,Almond,3.6,"Dias, 2002"
Dried_fruits,Chestnut,3.6,"Dias, 2002"
Dried_fruits,Locust,3.6,"Dias, 2002"
Dried_fruits,Nuuts,3.6,"Dias, 2002"
Dried_fruits,Other_fried_fruits,3.6,"Dias, 2002"
Fresh_fruits,Apple,4,"APA, 2017; Table 5.45"
Fresh_fruits,Cherry,4,"APA, 2017; Table 5.45"
Fresh_fruits,other_fresh,4,"APA, 2017; Table 5.45"
Fresh_fruits,Peach,4,"APA, 2017; Table 5.45"
Fresh_fruits,Pear,4,"APA, 2017; Table 5.45"
Olive_grove,Olive_grove,2.9,"Dias, 2002"
Vineyard,Vineyard,2.7,"Dias, 2002"
