agrarian_region_id,agrarian_region,Rainfed_potato,Irrigated_potato
Entre Douro e Minho,1,30000,40000
Trás-os-Montes,2,30000,40000
Beira Litoral,3,30000,40000
Beira Interior,4,30000,40000
Ribatejo e Oeste,5,30000,40000
Alentejo,6,30000,40000
Algarve,7,30000,40000
