Param_id,Main_crop,Crop,Crop_id
"""0005686""",Cereals,Wheat,11
"""0005686""",Cereals,Rye,12
"""0005686""",Cereals,Oat,14
"""0005686""",Cereals,Barley,13
"""0005686""",Cereals,Triticale,15
"""0005686""",Cereals,Maize,16
"""0005686""",Cereals,Rice,17
"""0005686""",Pulses,Beans,22
"""0005686""",Pulses,Chickpea,23
"""0005686""",Pulses,Other_dried_pulses,29
"""0005686""",Potato,Potato,5
"""0005686""",Industry_crops,Other_industry,79
"""0005686""",Industry_crops,Sunflower,71
"""0005692""",Fresh_fruits,Pear,12
"""0005692""",Fresh_fruits,Apple,11
"""0005692""",Fresh_fruits,Peach,13
"""0005692""",Fresh_fruits,Cherry,13
"""0005692""",Fresh_fruits,other_fresh,19
"""0005692""",Citrus,Orange,21
"""0005692""",Citrus,Tangerine,22
"""0005692""",Citrus,Lemon,23
"""0005692""",Dried_nuts,Almond,51
"""0005692""",Dried_nuts,Nuuts,53
"""0005692""",Dried_nuts,Chestnut,52
"""0005692""",Olive_grove,Olive_grove,6
"""0005692""",Vineyard,Vineyard,7
"""0005686""",Forage,forage_roots,41
"""0005686""",Forage,Annual_mixtures,42
"""0005686""",Forage,forage_sorghum,43
"""0005686""",Forage,forage_oat,44
"""0005686""",Forage,forage_maize,45
"""0005686""",Forage,other_forage,49
"""0005686""",Horticulture,Horticulture_intensive,82
"""0005686""",Horticulture,Horticulture_extensive,81
"""0005686""",Pastures,Intensive_pasture,3
"""0005710""",Pastures,Extensive_pasture,T
