Product,Year,Fert_ktN
AAN,1961,0
AAN,1962,0
AAN,1963,0
AAN,1964,0
AAN,1965,0
AAN,1966,0
AAN,1967,0
AAN,1968,0
AAN,1969,0
AAN,1970,0
AAN,1971,0
AAN,1972,0
AAN,1973,0
AAN,1974,0
AAN,1975,0
AAN,1976,0.3
AAN,1977,1.8
AAN,1978,2
AAN,1979,2
AAN,1980,0.8
AAN,1981,1.7
AAN,1982,1
AAN,1983,0
AAN,1984,0.9
AAN,1985,0
AAN,1986,0
AAN,1987,0
AAN,1988,2.6
AAN,1989,2.1
AAN,1990,1.7
AAN,1991,1
AAN,1992,1
AAN,1993,1
AAN,1994,0
AAN,1995,0
AAN,1996,0
AAN,1997,0
AAN,1998,0
AAN,1999,0
AAN,2000,0
AAN,2001,0
AAN,2002,0
AAN,2003,0
AAN,2004,0
AAN,2005,0
AAN,2006,0
AAN,2007,0
AAN,2008,0
AAN,2009,0
AAN,2010,0
AAN,2011,0
AAN,2012,0
AAN,2013,0
AAN,2014,0
AAN,2015,0
AAN,2016,0
AAN,2017,0
AS,1961,39.7
AS,1962,0
AS,1963,0
AS,1964,0
AS,1965,0
AS,1966,0
AS,1967,0
AS,1968,0
AS,1969,0
AS,1970,0
AS,1971,0
AS,1972,0
AS,1973,34
AS,1974,29
AS,1975,36.7
AS,1976,32.7
AS,1977,35.3
AS,1978,30.8
AS,1979,32.2
AS,1980,24.5
AS,1981,21.9
AS,1982,20.7
AS,1983,18.9
AS,1984,16.9
AS,1985,17.5
AS,1986,16.1
AS,1987,14.9
AS,1988,14.6
AS,1989,13.4
AS,1990,13.9
AS,1991,11
AS,1992,9
AS,1993,9
AS,1994,7
AS,1995,6
AS,1996,5
AS,1997,5
AS,1998,4
AS,1999,4
AS,2000,4
AS,2001,4
AS,2002,4
AS,2003,4
AS,2004,4
AS,2005,4
AS,2006,4
AS,2007,4
AS,2008,5
AS,2009,5
AS,2010,5
AS,2011,4
AS,2012,4
AS,2013,4
AS,2014,3
AS,2015,4
AS,2016,3
AS,2017,5.7
CAN,1961,22.6
CAN,1962,0
CAN,1963,0
CAN,1964,0
CAN,1965,0
CAN,1966,0
CAN,1967,0
CAN,1968,0
CAN,1969,0
CAN,1970,0
CAN,1971,0
CAN,1972,0
CAN,1973,55.1
CAN,1974,41
CAN,1975,55
CAN,1976,56.9
CAN,1977,65.2
CAN,1978,58.6
CAN,1979,67.5
CAN,1980,58.7
CAN,1981,67.2
CAN,1982,65.8
CAN,1983,57
CAN,1984,63.4
CAN,1985,72.7
CAN,1986,77.5
CAN,1987,74.5
CAN,1988,79.7
CAN,1989,66.7
CAN,1990,68.1
CAN,1991,60
CAN,1992,58
CAN,1993,59
CAN,1994,61
CAN,1995,61
CAN,1996,63
CAN,1997,59
CAN,1998,55
CAN,1999,51
CAN,2000,44
CAN,2001,40
CAN,2002,37
CAN,2003,37
CAN,2004,35
CAN,2005,32
CAN,2006,29
CAN,2007,29
CAN,2008,30
CAN,2009,31
CAN,2010,31
CAN,2011,28
CAN,2012,30
CAN,2013,32
CAN,2014,30
CAN,2015,31
CAN,2016,30
CAN,2017,25.4
N_solutions,1961,0
N_solutions,1962,0
N_solutions,1963,0
N_solutions,1964,0
N_solutions,1965,0
N_solutions,1966,0
N_solutions,1967,0
N_solutions,1968,0
N_solutions,1969,0
N_solutions,1970,0
N_solutions,1971,0
N_solutions,1972,0
N_solutions,1973,0
N_solutions,1974,0
N_solutions,1975,0
N_solutions,1976,0
N_solutions,1977,0
N_solutions,1978,0
N_solutions,1979,0
N_solutions,1980,0
N_solutions,1981,0
N_solutions,1982,0
N_solutions,1983,0
N_solutions,1984,0
N_solutions,1985,0
N_solutions,1986,0
N_solutions,1987,0.7
N_solutions,1988,1.7
N_solutions,1989,2.3
N_solutions,1990,2.6
N_solutions,1991,3
N_solutions,1992,3
N_solutions,1993,3
N_solutions,1994,4
N_solutions,1995,3
N_solutions,1996,7
N_solutions,1997,8
N_solutions,1998,12
N_solutions,1999,10
N_solutions,2000,11
N_solutions,2001,11
N_solutions,2002,10
N_solutions,2003,10
N_solutions,2004,10
N_solutions,2005,9
N_solutions,2006,10
N_solutions,2007,10
N_solutions,2008,8
N_solutions,2009,6
N_solutions,2010,8
N_solutions,2011,8
N_solutions,2012,9
N_solutions,2013,9
N_solutions,2014,6
N_solutions,2015,6
N_solutions,2016,6
N_solutions,2017,9
Other_Nstraight,1961,5.1
Other_Nstraight,1962,0
Other_Nstraight,1963,0
Other_Nstraight,1964,0
Other_Nstraight,1965,0
Other_Nstraight,1966,0
Other_Nstraight,1967,0
Other_Nstraight,1968,0
Other_Nstraight,1969,0
Other_Nstraight,1970,0
Other_Nstraight,1971,0
Other_Nstraight,1972,0
Other_Nstraight,1973,3.4
Other_Nstraight,1974,3.6
Other_Nstraight,1975,6.7
Other_Nstraight,1976,4.5
Other_Nstraight,1977,6.4
Other_Nstraight,1978,5
Other_Nstraight,1979,6
Other_Nstraight,1980,4.7
Other_Nstraight,1981,3.6
Other_Nstraight,1982,2.9
Other_Nstraight,1983,3.5
Other_Nstraight,1984,2.5
Other_Nstraight,1985,2.6
Other_Nstraight,1986,3.2
Other_Nstraight,1987,2.7
Other_Nstraight,1988,2.2
Other_Nstraight,1989,2.8
Other_Nstraight,1990,2.8
Other_Nstraight,1991,3
Other_Nstraight,1992,3
Other_Nstraight,1993,3
Other_Nstraight,1994,1
Other_Nstraight,1995,1
Other_Nstraight,1996,3
Other_Nstraight,1997,2
Other_Nstraight,1998,1
Other_Nstraight,1999,2
Other_Nstraight,2000,3
Other_Nstraight,2001,2
Other_Nstraight,2002,2
Other_Nstraight,2003,2
Other_Nstraight,2004,2
Other_Nstraight,2005,2
Other_Nstraight,2006,2
Other_Nstraight,2007,2
Other_Nstraight,2008,2
Other_Nstraight,2009,2
Other_Nstraight,2010,2
Other_Nstraight,2011,2
Other_Nstraight,2012,2
Other_Nstraight,2013,2
Other_Nstraight,2014,2
Other_Nstraight,2015,2
Other_Nstraight,2016,2
Other_Nstraight,2017,2
Urea,1961,0.4
Urea,1962,0
Urea,1963,0
Urea,1964,0
Urea,1965,0
Urea,1966,0
Urea,1967,0
Urea,1968,0
Urea,1969,0
Urea,1970,0
Urea,1971,0
Urea,1972,0
Urea,1973,4.8
Urea,1974,4.2
Urea,1975,4.8
Urea,1976,4.9
Urea,1977,5.7
Urea,1978,5.9
Urea,1979,6
Urea,1980,4.4
Urea,1981,6.4
Urea,1982,6.5
Urea,1983,6.9
Urea,1984,6.8
Urea,1985,8.3
Urea,1986,12.7
Urea,1987,14.1
Urea,1988,11.5
Urea,1989,17
Urea,1990,20.6
Urea,1991,24
Urea,1992,23
Urea,1993,24
Urea,1994,24
Urea,1995,24
Urea,1996,21
Urea,1997,15
Urea,1998,17
Urea,1999,15
Urea,2000,13
Urea,2001,12
Urea,2002,12
Urea,2003,12
Urea,2004,11
Urea,2005,11
Urea,2006,10
Urea,2007,10
Urea,2008,9
Urea,2009,9
Urea,2010,10
Urea,2011,9
Urea,2012,9
Urea,2013,9
Urea,2014,8
Urea,2015,8
Urea,2016,8
Urea,2017,8
AP,1961,0
AP,1962,0
AP,1963,0
AP,1964,0
AP,1965,0
AP,1966,0
AP,1967,0
AP,1968,0
AP,1969,0
AP,1970,0
AP,1971,0
AP,1972,0
AP,1973,0
AP,1974,0
AP,1975,0
AP,1976,0
AP,1977,0
AP,1978,0
AP,1979,0
AP,1980,0
AP,1981,0
AP,1982,6
AP,1983,2
AP,1984,0.5
AP,1985,2
AP,1986,5
AP,1987,5.6
AP,1988,1.4
AP,1989,1.7
AP,1990,4.2
AP,1991,5
AP,1992,4
AP,1993,4
AP,1994,4
AP,1995,4
AP,1996,4
AP,1997,4
AP,1998,5
AP,1999,5
AP,2000,4
AP,2001,4
AP,2002,4
AP,2003,4
AP,2004,5
AP,2005,4
AP,2006,5
AP,2007,3
AP,2008,2.2
AP,2009,3
AP,2010,3.8
AP,2011,1
AP,2012,1
AP,2013,1
AP,2014,1
AP,2015,1
AP,2016,1
AP,2017,4.3
NK_compound,1961,0
NK_compound,1962,0
NK_compound,1963,0
NK_compound,1964,0
NK_compound,1965,0
NK_compound,1966,0
NK_compound,1967,0
NK_compound,1968,0
NK_compound,1969,0
NK_compound,1970,0
NK_compound,1971,0
NK_compound,1972,0
NK_compound,1973,0
NK_compound,1974,0
NK_compound,1975,0
NK_compound,1976,0
NK_compound,1977,0
NK_compound,1978,0
NK_compound,1979,0
NK_compound,1980,0
NK_compound,1981,0
NK_compound,1982,0
NK_compound,1983,0
NK_compound,1984,0
NK_compound,1985,0
NK_compound,1986,0
NK_compound,1987,0
NK_compound,1988,0
NK_compound,1989,0
NK_compound,1990,0
NK_compound,1991,0
NK_compound,1992,0
NK_compound,1993,0
NK_compound,1994,0
NK_compound,1995,0
NK_compound,1996,0
NK_compound,1997,0
NK_compound,1998,0
NK_compound,1999,0
NK_compound,2000,0
NK_compound,2001,0
NK_compound,2002,0
NK_compound,2003,0
NK_compound,2004,0
NK_compound,2005,0
NK_compound,2006,0
NK_compound,2007,0
NK_compound,2008,0
NK_compound,2009,0
NK_compound,2010,0
NK_compound,2011,1
NK_compound,2012,1
NK_compound,2013,1
NK_compound,2014,1
NK_compound,2015,1
NK_compound,2016,1
NK_compound,2017,2.8
NPK_compound,1961,0
NPK_compound,1962,0
NPK_compound,1963,0
NPK_compound,1964,0
NPK_compound,1965,0
NPK_compound,1966,0
NPK_compound,1967,0
NPK_compound,1968,0
