Main_animals,Animals,1990,2014
Bovine,Male_calf_2,1,1
Bovine,Male_calf_1-2,1,1
Bovine,Non_dairy,1,1
Bovine,Other_calf,1,1
Bovine,Beef_calf,1,1
Bovine,Dairy_cows,0.65,0.8
Bovine,Female_calf_2,1,1
Bovine,Female_calf_1-2,1,1
Bovine,Female_calf-1,1,1
Equides,Horses,1,1
Equides,Other_equidae,1,1
Goats,Goats,1,1
Sheep,Ewes,1,1
Rabbits,Rabbits,1,1
Pigs,Pregnant_sows,0.05,0.09
Pigs,Other_swine,0.05,0.09
Pigs,Pigs_50,0.05,0.09
Pigs,Pigs_20,0.05,0.09
Pigs,Non_pregnant_sows,0.05,0.09
Poultry,Broilers,1,1
Poultry,Ducks,1,0.9
Poultry,Geese,1,0.9
Poultry,Laying_hens,1,1
Poultry,Turkeys,1,1
Poultry,Rep_hens,1,1
