Muni_ID,ID,Muni,Avg_yield
1601,1111601,Arcos de Valdevez,5200
1602,1111602,Caminha,5200
1603,1111603,Melgaço,5200
1604,1111604,Monção,5200
1605,1111605,Paredes de Coura,5200
1606,1111606,Ponte da Barca,5200
1607,1111607,Ponte de Lima,5200
1608,1111608,Valença,5200
1609,1111609,Viana do Castelo,5200
1610,1111610,Vila Nova de Cerveira,5200
301,1120301,Amares,5200
302,1120302,Barcelos,5200
303,1120303,Braga,5200
306,1120306,Esposende,5200
310,1120310,Terras de Bouro,5200
313,1120313,Vila Verde,5200
307,1130307,Fafe,5200
308,1130308,Guimarães,5200
309,1130309,Póvoa de Lanhoso,5200
1314,1131314,Santo Tirso,5200
1318,1131318,Trofa,5200
311,1130311,Vieira do Minho,5200
312,1130312,Vila Nova de Famalicão,5200
314,1130314,Vizela,5200
107,1140107,Espinho,5200
1304,1141304,Gondomar,5200
1306,1141306,Maia,5200
1308,1141308,Matosinhos,5200
1312,1141312,Porto,5200
1313,1141313,Póvoa de Varzim,5200
1315,1141315,Valongo,5200
1316,1141316,Vila do Conde,5200
1317,1141317,Vila Nova de Gaia,5200
1301,1151301,Amarante,5200
1302,1151302,Baião,5200
304,1150304,Cabeceiras de Basto,5200
106,1150106,Castelo de Paiva,5200
305,1150305,Celorico de Basto,5200
1804,1151804,Cinfães,5200
1303,1151303,Felgueiras,5200
1305,1151305,Lousada,5200
1307,1151307,Marco de Canaveses,5200
1705,1151705,Mondim de Basto,5200
1309,1151309,Paços de Ferreira,5200
1310,1151310,Paredes,5200
1311,1151311,Penafiel,5200
1813,1151813,Resende,5200
1709,1151709,Ribeira de Pena,5200
104,1160104,Arouca,5200
113,1160113,Oliveira de Azeméis,5200
109,1160109,Santa Maria da Feira,5200
116,1160116,São João da Madeira,5200
119,1160119,Vale de Cambra,5200
1701,1171701,Alijó,4719
1801,1171801,Armamar,5200
403,1170403,Carrazeda de Ansiães,2103
404,1170404,Freixo de Espada à Cinta,1900
1805,1171805,Lamego,5200
1704,1171704,Mesão Frio,5200
1807,1171807,Moimenta da Beira,5200
1812,1171812,Penedono,4981
1708,1171708,Peso da Régua,5200
1710,1171710,Sabrosa,5200
1711,1171711,Santa Marta de Penaguião,5200
1815,1171815,São João da Pesqueira,4530
1818,1171818,Sernancelhe,5200
1819,1171819,Tabuaço,5200
1820,1171820,Tarouca,5200
409,1170409,Torre de Moncorvo,1900
410,1170410,Vila Flor,1900
914,1170914,Vila Nova de Foz Côa,1900
1714,1171714,Vila Real,5200
401,1180401,Alfândega da Fé,1900
1702,1181702,Boticas,5200
402,1180402,Bragança,1959
1703,1181703,Chaves,3520
405,1180405,Macedo de Cavaleiros,1901
406,1180406,Miranda do Douro,1900
407,1180407,Mirandela,1900
408,1180408,Mogadouro,1900
1706,1181706,Montalegre,5200
1707,1181707,Murça,3712
1712,1181712,Valpaços,2512
1713,1181713,Vila Pouca de Aguiar,5200
411,1180411,Vimioso,1900
412,1180412,Vinhais,2505
101,1610101,Águeda,5200
102,1610102,Albergaria-a-Velha,5200
103,1610103,Anadia,5200
105,1610105,Aveiro,5200
108,1610108,Estarreja,5200
110,1610110,Ílhavo,5200
111,1610111,Mealhada,5200
112,1610112,Murtosa,5200
114,1610114,Oliveira do Bairro,5200
115,1610115,Ovar,5200
117,1610117,Sever do Vouga,5200
118,1610118,Vagos,5200
602,1620602,Cantanhede,5200
603,1620603,Coimbra,5200
604,1620604,Condeixa-a-Nova,5200
605,1620605,Figueira da Foz,5200
608,1620608,Mira,5200
610,1620610,Montemor-o-Velho,5200
613,1620613,Penacova,5200
615,1620615,Soure,5200
1004,1631004,Batalha,3588
1009,1631009,Leiria,4995
1010,1631010,Marinha Grande,5200
1015,1631015,Pombal,4863
1016,1631016,Porto de Mós,2582
1002,1641002,Alvaiázere,2180
1003,1641003,Ansião,3516
601,1640601,Arganil,5200
1007,1641007,Castanheira de Pêra,5200
1008,1641008,Figueiró dos Vinhos,4584
606,1640606,Góis,5200
607,1640607,Lousã,5200
609,1640609,Miranda do Corvo,5200
611,1640611,Oliveira do Hospital,5200
612,1640612,Pampilhosa da Serra,5200
1013,1641013,Pedrógão Grande,5199
614,1640614,Penela,5195
616,1640616,Tábua,5200
617,1640617,Vila Nova de Poiares,5200
901,1650901,Aguiar da Beira,5200
1802,1651802,Carregal do Sal,5200
1803,1651803,Castro Daire,5200
1806,1651806,Mangualde,5200
1808,1651808,Mortágua,5200
1809,1651809,Nelas,5200
1810,1651810,Oliveira de Frades,5200
1811,1651811,Penalva do Castelo,5200
1814,1651814,Santa Comba Dão,5200
1816,1651816,São Pedro do Sul,5200
1817,1651817,Sátão,5200
1821,1651821,Tondela,5200
1822,1651822,Vila Nova de Paiva,5200
1823,1651823,Viseu,5200
1824,1651824,Vouzela,5200
1413,1661413,Mação,1905
506,1660506,Oleiros,5097
508,1660508,Proença-a-Nova,2580
509,1660509,Sertã,3856
510,1660510,Vila de Rei,1900
905,1670905,Fornos de Algodres,5200
906,1670906,Gouveia,5200
912,1670912,Seia,5200
902,1680902,Almeida,1900
903,1680903,Celorico da Beira,4969
904,1680904,Figueira de Castelo Rodrigo,1900
907,1680907,Guarda,3805
908,1680908,Manteigas,5200
909,1680909,Mêda,2270
910,1680910,Pinhel,1900
911,1680911,Sabugal,1970
913,1680913,Trancoso,3886
502,1690502,Castelo Branco,2080
505,1690505,Idanha-a-Nova,1112
507,1690507,Penamacor,1895
511,1690511,Vila Velha de Ródão,1900
501,16A0501,Belmonte,3381
503,16A0503,Covilhã,4941
504,16A0504,Fundão,3445
1001,16B1001,Alcobaça,4145
1101,16B1101,Alenquer,1900
1102,16B1102,Arruda dos Vinhos,1900
1005,16B1005,Bombarral,5104
1104,16B1104,Cadaval,2126
1006,16B1006,Caldas da Rainha,4263
1108,16B1108,Lourinhã,5198
1011,16B1011,Nazaré,5200
1012,16B1012,Óbidos,5108
1014,16B1014,Peniche,5200
1112,16B1112,Sobral de Monte Agraço,1900
1113,16B1113,Torres Vedras,3450
1401,16C1401,Abrantes,1900
1402,16C1402,Alcanena,1900
1408,16C1408,Constância,1900
1410,16C1410,Entroncamento,1900
1411,16C1411,Ferreira do Zêzere,1900
1421,16C1421,Ourém,2108
1417,16C1417,Sardoal,1900
