SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,20F/03,,20G/01,,20G/02,,20G/03,,20G/50,,20G/51,,20H/01,,20H/04,,20H/06,,20I/01,,20I/03,,20I/50,,20J/03,,20J/54,,20K/02,,20K/50,,20N/50,,20O/02,,20O/02C,,20O/02F,,20O/04,,20O/05,,20O/51,,20O/53,,20O/54,,21A/02,,21B/02,,21B/03,,21B/23,,21D/06,,21D/07,,21D/08,,21E/01,,21F/01,,21F/02,,21G/01,,21G/03,,21H/02,,
,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,
16/01/2017 10:25,,,0.89,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/01/2017 07:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/01/2017 07:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/01/2017 08:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/01/2017 10:46,,,,,,,,,,,,,,,,,,,,,,,,,0.89,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/01/2017 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,,,,,,,,,,
26/01/2017 11:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,
13/02/2017 10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,
14/02/2017 11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,,,,
