SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,07O/06,,07O/50,,07P/02,,07P/54,,07P/55,,07P/56,,07Q/02,,08F/01,,08F/02,,08F/09,,08F/10,,08G/02,,08G/03,,08G/05,,08G/06,,08H/01,,08H/03,,08H/04,,08I/50,,08J/01,,08J/02,,08J/50,,08J/51,,08J/52,,08K/01,,08K/02,,08L/01,,08L/02,,08L/05,,08L/06C,,08L/07C,,08L/08,,08L/09,,08M/02,,08M/50,,08N/01,,08O/01,,08P/01,,08P/02,,08P/02C,,08P/03,,08P/04,,08Q/01,,09F/06,,09F/09,,09G/01,,
,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,Nitrato Total (mg/l NO3) (mg/l),FLAG,
11/01/2017 00:00,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2017 09:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2017 12:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2017 13:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/01/2017 15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,
08/02/2017 09:00,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/2017 14:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,
14/03/2017 08:50,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2017 08:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,
03/04/2017 09:20,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2017 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/04/2017 10:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,
19/04/2017 12:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,,,,,,,,,,,,,,,,,,
19/04/2017 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,
19/04/2017 15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,
20/04/2017 16:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/2017 16:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/2017 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/2017 17:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,
20/04/2017 19:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,
25/04/2017 19:30,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/04/2017 20:15,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/05/2017 15:47,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/05/2017 09:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/05/2017 09:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/05/2017 10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/05/2017 10:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/05/2017 14:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/05/2017 15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/05/2017 15:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/05/2017 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/05/2017 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/05/2017 08:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,
23/05/2017 09:30,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/05/2017 12:30,,,,,,,,,,,,,,,,,,,,,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/05/2017 12:55,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/05/2017 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,
12/06/2017 09:15,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/07/2017 09:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,(<),0.3,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/07/2017 15:32,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/2017 11:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,
19/07/2017 12:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,
19/07/2017 13:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,
20/07/2017 13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/2017 13:00,,,,,,,,,,,,,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/07/2017 14:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,
27/07/2017 16:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/07/2017 17:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/07/2017 15:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/07/2017 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/07/2017 17:55,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2017 09:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,(<),0.3,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2017 11:45,,,,,,,,,,,,,,,,,,,,,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2017 12:25,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/08/2017 14:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,
31/08/2017 13:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,
04/09/2017 09:45,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/09/2017 10:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
04/09/2017 11:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,
04/09/2017 12:10,,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/09/2017 16:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,
26/09/2017 09:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,(<),0.3,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2017 08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2017 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2017 10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2017 14:26,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/10/2017 08:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,
17/10/2017 09:10,,,,,,,,,,,2,(<),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/10/2017 08:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,
