"id","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
1,868,868,868,807,746,684,623,540,458,340,221,206,190,142,95,48,0,0,0,0,0,48,95,108,120,133,146,141,136,131,131
2,159,159,159,270,380,490,601,581,561,524,487,598,709,532,354,177,0,0,0,0,0,456,913,1144,1375,1606,1837,1519,1200,882,882
3,1518,1518,1518,1512,1505,1498,1492,1602,1713,1404,1095,1058,1020,765,510,255,0,0,0,0,0,349,698,716,733,750,768,833,897,962,962
4,1412,1412,1412,1729,2046,2362,2679,2900,3120,3362,3604,3411,3218,2414,1609,804,0,0,0,0,0,1724,3448,3236,3024,2813,2601,2575,2549,2523,2523
5,1857,1857,1857,1937,2017,2097,2177,1876,1576,1922,2268,2505,2742,2056,1371,686,0,0,0,0,0,641,1282,1120,958,796,634,660,685,711,711
6,6507,6507,6507,6012,5518,5024,4529,3918,3307,6146,8986,9882,10778,8084,5389,2694,0,0,0,0,0,2215,4430,3927,3424,2921,2418,2638,2859,3079,3079
7,153,153,153,124,96,67,38,75,112,130,149,185,221,166,110,55,0,0,0,0,0,27,54,50,46,43,39,59,79,99,99
