Muni_ID,ID,Muni,agrarian_region,agrarian_region_id,Pasture_largeRuminants,Pasture_smallRuminants,House_largeRuminants,House_smallRuminants
1601,1111601,Arcos de Valdevez,Entre Douro e Minho,1,0.17,0.024,0,0.009
1602,1111602,Caminha,Entre Douro e Minho,1,0.17,0.024,0,0.009
1603,1111603,Melgaço,Entre Douro e Minho,1,0.17,0.024,0,0.009
1604,1111604,Monção,Entre Douro e Minho,1,0.17,0.024,0,0.009
1605,1111605,Paredes de Coura,Entre Douro e Minho,1,0.17,0.024,0,0.009
1606,1111606,Ponte da Barca,Entre Douro e Minho,1,0.17,0.024,0,0.009
1607,1111607,Ponte de Lima,Entre Douro e Minho,1,0.17,0.024,0,0.009
1608,1111608,Valença,Entre Douro e Minho,1,0.17,0.024,0,0.009
1609,1111609,Viana do Castelo,Entre Douro e Minho,1,0.17,0.024,0,0.009
1610,1111610,Vila Nova de Cerveira,Entre Douro e Minho,1,0.17,0.024,0,0.009
301,1120301,Amares,Entre Douro e Minho,1,0.17,0.024,0,0.009
302,1120302,Barcelos,Entre Douro e Minho,1,0.17,0.024,0,0.009
303,1120303,Braga,Entre Douro e Minho,1,0.17,0.024,0,0.009
306,1120306,Esposende,Entre Douro e Minho,1,0.17,0.024,0,0.009
310,1120310,Terras de Bouro,Entre Douro e Minho,1,0.17,0.024,0,0.009
313,1120313,Vila Verde,Entre Douro e Minho,1,0.17,0.024,0,0.009
307,1130307,Fafe,Entre Douro e Minho,1,0.17,0.024,0,0.009
308,1130308,Guimarães,Entre Douro e Minho,1,0.17,0.024,0,0.009
309,1130309,Póvoa de Lanhoso,Entre Douro e Minho,1,0.17,0.024,0,0.009
1314,1131314,Santo Tirso,Entre Douro e Minho,1,0.17,0.024,0,0.009
1318,1131318,Trofa,Entre Douro e Minho,1,0.17,0.024,0,0.009
311,1130311,Vieira do Minho,Entre Douro e Minho,1,0.17,0.024,0,0.009
312,1130312,Vila Nova de Famalicão,Entre Douro e Minho,1,0.17,0.024,0,0.009
314,1130314,Vizela,Entre Douro e Minho,1,0.17,0.024,0,0.009
107,1140107,Espinho,Entre Douro e Minho,1,0.17,0.024,0,0.009
1304,1141304,Gondomar,Entre Douro e Minho,1,0.17,0.024,0,0.009
1306,1141306,Maia,Entre Douro e Minho,1,0.17,0.024,0,0.009
1308,1141308,Matosinhos,Entre Douro e Minho,1,0.17,0.024,0,0.009
1312,1141312,Porto,Entre Douro e Minho,1,0.17,0.024,0,0.009
1313,1141313,Póvoa de Varzim,Entre Douro e Minho,1,0.17,0.024,0,0.009
1315,1141315,Valongo,Entre Douro e Minho,1,0.17,0.024,0,0.009
1316,1141316,Vila do Conde,Entre Douro e Minho,1,0.17,0.024,0,0.009
1317,1141317,Vila Nova de Gaia,Entre Douro e Minho,1,0.17,0.024,0,0.009
1301,1151301,Amarante,Entre Douro e Minho,1,0.17,0.024,0,0.009
1302,1151302,Baião,Entre Douro e Minho,1,0.17,0.024,0,0.009
304,1150304,Cabeceiras de Basto,Entre Douro e Minho,1,0.17,0.024,0,0.009
106,1150106,Castelo de Paiva,Entre Douro e Minho,1,0.17,0.024,0,0.009
305,1150305,Celorico de Basto,Entre Douro e Minho,1,0.17,0.024,0,0.009
1804,1151804,Cinfães,Entre Douro e Minho,1,0.17,0.024,0,0.009
1303,1151303,Felgueiras,Entre Douro e Minho,1,0.17,0.024,0,0.009
1305,1151305,Lousada,Entre Douro e Minho,1,0.17,0.024,0,0.009
1307,1151307,Marco de Canaveses,Entre Douro e Minho,1,0.17,0.024,0,0.009
1705,1151705,Mondim de Basto,Entre Douro e Minho,1,0.17,0.024,0,0.009
1309,1151309,Paços de Ferreira,Entre Douro e Minho,1,0.17,0.024,0,0.009
1310,1151310,Paredes,Entre Douro e Minho,1,0.17,0.024,0,0.009
1311,1151311,Penafiel,Entre Douro e Minho,1,0.17,0.024,0,0.009
1813,1151813,Resende,Entre Douro e Minho,1,0.17,0.024,0,0.009
1709,1151709,Ribeira de Pena,Entre Douro e Minho,1,0.17,0.024,0,0.009
104,1160104,Arouca,Entre Douro e Minho,1,0.17,0.024,0,0.009
113,1160113,Oliveira de Azeméis,Entre Douro e Minho,1,0.17,0.024,0,0.009
109,1160109,Santa Maria da Feira,Entre Douro e Minho,1,0.17,0.024,0,0.009
116,1160116,São João da Madeira,Entre Douro e Minho,1,0.17,0.024,0,0.009
119,1160119,Vale de Cambra,Entre Douro e Minho,1,0.17,0.024,0,0.009
1701,1171701,Alijó,Trás-os-Montes,2,0.17,0.024,0,0.009
1801,1171801,Armamar,Trás-os-Montes,2,0.17,0.024,0,0.009
403,1170403,Carrazeda de Ansiães,Trás-os-Montes,2,0.17,0.024,0,0.009
404,1170404,Freixo de Espada à Cinta,Trás-os-Montes,2,0.17,0.024,0,0.009
1805,1171805,Lamego,Trás-os-Montes,2,0.17,0.024,0,0.009
1704,1171704,Mesão Frio,Entre Douro e Minho,1,0.17,0.024,0,0.009
1807,1171807,Moimenta da Beira,Trás-os-Montes,2,0.17,0.024,0,0.009
1812,1171812,Penedono,Trás-os-Montes,2,0.17,0.024,0,0.009
1708,1171708,Peso da Régua,Trás-os-Montes,2,0.17,0.024,0,0.009
