"id","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
1,"8478","8254","8495","9414","13539","11466","6825","4963","5062","4504","4541","2062","2053","1988","1743","2134","2062","2030","1885","1798","1778","1777","2533","2500","2532","2511","2504","2485","2411","2348","2298"
2,"2807","2733","2813","3117","4483","3462","1724","2285","2185","1765","2338","2409","3309","3196","3047","2968","2930","2876","2680","2572","2456","2496","2457","2457","2450","2375","2388","2435","2362","2177","1983"
3,"6603","6429","6617","7332","10545","9139","7705","2200","2047","1975","1708","1732","5539","4281","3723","3609","3404","3439","3214","3344","4061","3995","3847","3616","3607","3252","3282","3269","3220","2500","2461"
4,"1522","1482","1525","1690","2431","2430","1570","1603","81","70","0","0","1850","1850","1787","1641","1468","1463","1135","1212","1212","1237","807","851","845","798","810","762","743","551","511"
5,"3012","2933","3019","3345","4811","3715","2700","1602","2472","3006","2257","1500","2371","2269","1849","1277","1722","1645","996","899","834","750","807","744","743","375","592","761","372","372","223"
6,"471","458","472","523","751","580","600","72","70","314","1292","3100","1551","1534","889","515","366","334","141","58","53","53","0","0","0","0","0","0","0","0","0"
7,"333","323","333","369","530","409","235","239","416","505","200","201","195","195","195","195","187","162","18","93","93","42","37","37","37","22","31","19","14","10","7"
