agrarian_region_id,agrarian_region,Pear,Apple,Peach,Cherry,other_fresh
Entre Douro e Minho,1,55,55,80,68,68
Trás-os-Montes,2,55,55,80,68,68
Beira Litoral,3,55,55,80,68,68
Beira Interior,4,55,55,80,68,68
Ribatejo e Oeste,5,55,55,80,68,68
Alentejo,6,55,55,80,68,68
Algarve,7,55,55,80,68,68
