nuts2_ID,X2005,X2007,X2010,X2013
11,141170,121420,121110,124120
15,18450,16310,15790,16440
16,126390,105420,108630,95050
17,19690,25380,22650,23660
18,144620,150030,193800,213740
PT,453540,421520,466330,477160
