main_crop,crop,Avg_offtake,source,Assumption
Cereals,Barley,10.8,"CdBPA, 2018",
Cereals,Rainfed_maize,10.3,"CdBPA, 2018",
Cereals,Irrigated_maize,10.3,"CdBPA, 2018",
Cereals,Oat,10,"CdBPA, 2018",
Cereals,Rice,6,"CdBPA, 2018",
Cereals,Rye,10,"CdBPA, 2018",rye
Cereals,Triticale,10,"CdBPA, 2018",
Cereals,Wheat,8.6,"CdBPA, 2018",
Citrus,Lemon,0.4,"CdBPA, 2018",
Citrus,Orange,0.4,"CdBPA, 2018",
Citrus,Other_citrus,0.4,"CdBPA, 2018",
Citrus,Tangerine,0.4,"CdBPA, 2018",
Dried_nuts,Almond,12,"CdBPA, 2018",
Dried_nuts,Chestnut,1.7,"CdBPA, 2018",almonds
Dried_nuts,Locust,12,"CdBPA, 2018",
Dried_nuts,Nuuts,7.2,"CdBPA, 2018",almonds
Dried_nuts,Other_dried_nuts,32,"CdBPA, 2018",
Fresh_fruits,Apple,0.2,"CdBPA, 2018",
Fresh_fruits,Cherry,0.4,"CdBPA, 2018",
Fresh_fruits,other_fresh,0.6,"CdBPA, 2018",
Fresh_fruits,Peach,0.6,"CdBPA, 2018",
Fresh_fruits,Pear,0.2,"CdBPA, 2018",Assumed
Horticulture,Horticulture_extensive,1,"CdBPA, 2018",Assumed
Horticulture,Horticulture_intensive,1,"CdBPA, 2018",
Industry_crops,Sunflower,17,"CdBPA, 2018",
Industry_crops,Tomato,0.9,"CdBPA, 2018",
Olive_grove,Olive_grove,1,"CdBPA, 2018",
Potato,Rainfed_potato,2.4,"CdBPA, 2018",
Potato,Irrigated_potato,2.4,"CdBPA, 2018",
Vineyard,Vineyard,0.6,"CdBPA, 2018",
Pulses,Beans,7.6,"CdBPA, 2018",
Pulses,Chickpea,7.6,"CdBPA, 2018",
Pulses,Other_dried_pulses,7.6,"CdBPA, 2018",
Pastures,Intensive_pasture,10,"CdBPA, 2018",
Pastures,Extensive_pasture,6.8,"CdBPA, 2018",sorghum
Forage,forage_roots,6.67,"CdBPA, 2018",sorghum
Forage,Annual_mixtures,6.67,"CdBPA, 2018",sorghum
Forage,forage_sorghum,6.67,"CdBPA, 2018",sorghum
Forage,forage_oat,2.35,"CdBPA, 2018",
Forage,forage_maize,5.6,"CdBPA, 2018",
Forage,other_forage,6.67,"CdBPA, 2018",sorghum
