main_crop,crop,HI,Root_shoot_ratio,Source
Cereals,Barley,0.45,0.21,Le Noe 2016
Cereals,Rainfed_maize,0.52,0.24,Le Noe 2016
Cereals,Irrigated_maize,0.52,0.24,Le Noe 2016
Cereals,Oat,0.52,0.24,Le Noe 2016
Cereals,Rice,0.45,0.2,Le Noe 2016
Cereals,Rye,0.45,0.2,Le Noe 2016
Cereals,Triticale,0.45,0.2,Le Noe 2016
Cereals,Wheat,0.45,0.2,Le Noe 2016
Citrus,Lemon,0.8,0.2,Le Noe 2016
Citrus,Orange,0.8,0.2,Le Noe 2016
Citrus,Other_citrus,0.8,0.2,Le Noe 2016
Citrus,Tangerine,0.8,0.2,Le Noe 2016
dried_fruits,Almond,0.35,0.2,Le Noe 2016
dried_fruits,Chestnut,0.35,0.2,Le Noe 2016
dried_fruits,Locust,0.35,0.2,Le Noe 2016
dried_fruits,Nuuts,0.35,0.2,Le Noe 2016
dried_fruits,Other_dried_nuts,0.35,0.2,Le Noe 2016
fresh_fruits,Apple,0.5,0.25,Le Noe 2016
fresh_fruits,Cherry,0.5,0.25,Le Noe 2016
fresh_fruits,other_fresh,0.5,0.25,Le Noe 2016
fresh_fruits,Peach,0.5,0.25,Le Noe 2016
fresh_fruits,Pear,0.5,0.25,Le Noe 2016
industry,Sunflower,0.3,0.2,Le Noe 2016
industry,Tomato,0.8,0.15,Le Noe 2016
olive_grove,Olive_grove,0.5,0.2,Le Noe 2016
potato,Irrigated_potato,0.59,0.8,Le Noe 2016
potato,Rainfed_potato,0.59,0.8,Le Noe 2016
vineyard,Vineyard,0.5,0.25,Le Noe 2016
pulses,Beans,0.39,0.1,Le Noe 2016
pulses,Chickpea,0.35,0.35,Le Noe 2016
pulses,Other_dried_pulses,0.35,0.35,Le Noe 2016
Pastures,Intensive_pasture,0.8,1.2,Le Noe 2016
Pastures,Extensive_pasture,0.5,1.6,Le Noe 2016
Horticulture,Horticulture_intensive,0.8,0.15,Le Noe 2016
Horticulture,Horticulture_extensive,0.3,0.15,Le Noe 2016
Forage,forage_maize,0.8,0.1,Le Noe 2016
Forage,forage_oat,0.8,0.1,Le Noe 2016
Forage,Annual_mixtures,0.8,0.1,Le Noe 2016
Forage,other_forage,0.8,0.1,Le Noe 2016
Forage,forage_sorghum,0.8,0.1,Le Noe 2016
Forage,forage_roots,1,0.1,Le Noe 2016
