Main_crop,Crop,C_N,Source
Cereals,Wheat,100,CdBP18
Cereals,Oat,100,CdBP18
Cereals,Rye,100,CdBP18
Cereals,Barley,105,CdBP18
Cereals,Triticale,100,CdBP18
Cereals,Rice,100,CdBP18
Cereals,Rainfed_maize,75,CdBP18
Cereals,Irrigated_maize,75,CdBP18
Forage,forage_roots,75,CdBP18
Forage,Annual_mixtures,70,CdBP18
Forage,forage_sorghum,70,CdBP18
Forage,forage_oat,100,CdBP18
Forage,forage_maize,75,CdBP18
Forage,other_forage,70,CdBP18
Industry_crops,Tomato,16,https://books.google.pt/books?id=45JyXJzDsxgC&pg=PA170&lpg=PA170&dq=tomato+crop+residues+CN+ratio&source=bl&ots=n-84BftwQq&sig=ACfU3U1Ife6iSGgIn5rvs1Qk-bJwka9zCQ&hl=pt-PT&sa=X&ved=2ahUKEwjSz_Gt1bPpAhUD3hoKHSitCvQQ6AEwBHoECAsQAQ#v=onepage&q=tomato%20crop%20residues%20CN%20ratio&f=false
Industry_crops,Sunflower,24,CdBP18
Pulses,Beans,20,Adapted from CdPB18
Pulses,Chickpea,20,Adapted from CdPB18
Pulses,Other_dried_pulses,20,Adapted from CdPB18
Potato,Irrigated_potato,25,https://energypedia.info/wiki/Nitrogen-content_and_C/N-ratio_of_Organic_Substrates
Potato,Rainfed_potato,25,https://energypedia.info/wiki/Nitrogen-content_and_C/N-ratio_of_Organic_Substrates
Horticulture,Horticulture_intensive,12.5,https://energypedia.info/wiki/Nitrogen-content_and_C/N-ratio_of_Organic_Substrates
Horticulture,Horticulture_extensive,12.5,https://energypedia.info/wiki/Nitrogen-content_and_C/N-ratio_of_Organic_Substrates
Pastures,Intensive_pasture,12,"Hay, grass; https://energypedia.info/wiki/Nitrogen-content_and_C/N-ratio_of_Organic_Substrates"
Pastures,Extensive_pasture,12,"Hay, grass; https://energypedia.info/wiki/Nitrogen-content_and_C/N-ratio_of_Organic_Substrates"
