main_crop,crop,HU_AG,HU_BG,Source
cereals,Barley,0.15,0.15,Le Noe 2016
cereals,Rainfed_maize,0.15,0.15,Le Noe 2016
cereals,Irrigated_maize,0.15,0.15,Le Noe 2016
cereals,Oat,0.15,0.15,Le Noe 2016
cereals,Rice,0.15,0.15,Le Noe 2016
cereals,Rye,0.15,0.15,Le Noe 2016
cereals,Triticale,0.15,0.15,Le Noe 2016
cereals,Wheat,0.15,0.15,Le Noe 2016
citrus,Lemon,0.12,0.15,Le Noe 2016
citrus,Orange,0.12,0.15,Le Noe 2016
citrus,Other_citrus,0.12,0.15,Le Noe 2016
citrus,Tangerine,0.12,0.15,Le Noe 2016
dried_fruits,Almond,0.12,0.15,Le Noe 2016
dried_fruits,Chestnut,0.12,0.15,Le Noe 2016
dried_fruits,Locust,0.12,0.15,Le Noe 2016
dried_fruits,Nuuts,0.12,0.15,Le Noe 2016
dried_fruits,Other_dried_nuts,0.12,0.15,Le Noe 2016
fresh_fruits,Apple,0.12,0.15,Le Noe 2016
fresh_fruits,Cherry,0.12,0.15,Le Noe 2016
fresh_fruits,other_fresh,0.12,0.15,Le Noe 2016
fresh_fruits,Peach,0.12,0.15,Le Noe 2016
fresh_fruits,Pear,0.12,0.15,Le Noe 2016
industry,Sunflower,0.12,0.15,Le Noe 2016
industry,Tomato,0.12,0.15,Le Noe 2016
olive_grove,Olive_grove,0.12,0.15,Le Noe 2016
potato,Irrigated_potato,0.08,0.15,Le Noe 2016
potato,Rainfed_potato,0.08,0.15,Le Noe 2016
vineyard,Vineyard,0.12,0.15,Le Noe 2016
pulses,Beans,0.12,0.15,Le Noe 2016
pulses,Chickpea,0.12,0.15,Le Noe 2016
pulses,Other_dried_pulses,0.12,0.15,Le Noe 2016
Pastures,Intensive_pasture,0.12,0.2,Le Noe 2016
Pastures,Extensive_pasture,0.12,0.2,Le Noe 2016
